,email,link
0,,
1,info@intellify.in,https://www.intellify.in/
2,complaint@pwddelhi.com,https://delhi.gov.in/
3,contact@hackerearth.com,https://www.hackerearth.com/login/?next=/notifications/
4,polyfill@0.4,http://nss.iitd.ac.in/
5,nssinbox@gmail.com,http://nss.iitd.ac.in/
6,support@HackerEarth.com,https://www.hackerearth.com/terms-of-service/
7,support@hackerearth.com,https://www.hackerearth.com/privacy/
8,privacy@quora.com,https://www.quora.com/about/privacy
9,support@quora.com,https://www.quora.com/about/tos
10,Legal@Quora.com,https://www.quora.com/about/tos
11,swayamprabha@inflibnet.ac,https://www.swayamprabha.gov.in/index.php/program/current/8
12,support@sdgactioncampaign.org,https://sdgactionawards.org/
13,css@3.5,https://www.hackerearth.com
14,info@intellify.com,https://www.intellify.in/faq
15,helpdesk@internshala.com,https://internshala.com/internships/internship-at-Intellify
16,avinash@intellify.in,https://www.intellify.in/schoollogin
17,ex@abc.xyz,https://www.intellify.in/Registration
18,amar@intellify.in,https://www.intellify.in/about
19,satvik@intellify.in,https://www.intellify.in/about
20,vagesh@intellify.in,https://www.intellify.in/about
21,me@gmail.com,https://www.intellify.in/about
